№,Ошибка,Столбец с ошибкой,Количество случаев,Действие,Обоснование действия
1,Повторные loan_id,loan_id,43,Удалены,Оставили первое вхождение договора
2,Строки с незаполненными полями,все столбцы,0,Проверка пройдена,Пропусков в датасете нет
3,Нечитаемый формат issue_date,issue_date,0,Проверка пройдена,Все даты читаются корректно
4,Выдачи вне периода 2023–2024,issue_date,0,Проверка пройдена,Все выдачи внутри целевого окна
5,Значения region вне справочника,region,0,Проверка пройдена,Значения соответствуют справочнику
6,Значения channel вне справочника,channel,0,Проверка пройдена,Значения соответствуют справочнику
7,Значения loan_product вне справочника,loan_product,0,Проверка пройдена,Значения соответствуют справочнику
8,Расхождение DPD и is_default,"days_past_due, is_default",0,Проверка пройдена,Флаг дефолта согласован с глубиной просрочки
9,Отрицательный days_past_due,days_past_due,0,Проверка пройдена,—
10,Возраст вне диапазона 18–80,age,0,Проверка пройдена,—
11,Доход <= 0,monthly_income,0,Проверка пройдена,—
12,Экстремальные значения: monthly_income,monthly_income,120,Ограничение перцентилем 1-99,"Хвосты подтянуты до перцентилей, строки сохранены"
13,Экстремальные значения: loan_amount,loan_amount,103,Ограничение перцентилем 1-99,"Хвосты подтянуты до перцентилей, строки сохранены"
14,Экстремальные значения: monthly_payment,monthly_payment,120,Ограничение перцентилем 1-99,"Хвосты подтянуты до перцентилей, строки сохранены"
15,Экстремальные значения: credit_score,credit_score,117,Ограничение перцентилем 1-99,"Хвосты подтянуты до перцентилей, строки сохранены"
